sample,cell_barcode,clone_id
TP49-IR-1T,cell_1115,3
TP49-IR-1T,cell_1116,1
TP49-IR-1T,cell_1117,6
TP49-IR-1T,cell_1118,2
TP49-IR-1T,cell_1119,6
TP49-IR-1T,cell_112,2
TP49-IR-1T,cell_1120,7
TP49-IR-1T,cell_1121,6
TP49-IR-1T,cell_1122,5
TP49-IR-1T,cell_1123,0
TP49-IR-1T,cell_1124,5
TP49-IR-1T,cell_1125,7
TP49-IR-1T,cell_1126,4
TP49-IR-1T,cell_1127,2
TP49-IR-1T,cell_1128,6
TP49-IR-1T,cell_1129,1
TP49-IR-1T,cell_113,7
TP49-IR-1T,cell_1130,6
TP49-IR-1T,cell_1131,4
TP49-IR-1T,cell_1132,2
TP49-IR-1T,cell_1133,1
TP49-IR-1T,cell_1134,6
TP49-IR-1T,cell_1135,7
TP49-IR-1T,cell_1136,1
TP49-IR-1T,cell_1137,1
TP49-IR-1T,cell_1138,2
TP49-IR-1T,cell_1139,6
TP49-IR-1T,cell_114,1
TP49-IR-1T,cell_1140,5
TP49-IR-1T,cell_1141,6
TP49-IR-1T,cell_1142,6
TP49-IR-1T,cell_1143,1
TP49-IR-1T,cell_1144,7
TP49-IR-1T,cell_1145,1
TP49-IR-1T,cell_1146,7
TP49-IR-1T,cell_1147,5
TP49-IR-1T,cell_1148,1
TP49-IR-1T,cell_1149,2
TP49-IR-1T,cell_115,0
TP49-IR-1T,cell_1150,2
TP49-IR-1T,cell_1151,7
TP49-IR-1T,cell_1152,7
TP49-IR-1T,cell_1153,2
TP49-IR-1T,cell_1154,7
TP49-IR-1T,cell_1155,1
TP49-IR-1T,cell_1156,1
TP49-IR-1T,cell_1157,7
TP49-IR-1T,cell_1158,7
TP49-IR-1T,cell_1159,1
TP49-IR-1T,cell_116,1
TP49-IR-1T,cell_1160,1
TP49-IR-1T,cell_1161,6
TP49-IR-1T,cell_1162,2
TP49-IR-1T,cell_1163,2
TP49-IR-1T,cell_1164,2
TP49-IR-1T,cell_1165,1
TP49-IR-1T,cell_1166,1
TP49-IR-1T,cell_1167,1
TP49-IR-1T,cell_1168,2
TP49-IR-1T,cell_1169,2
TP49-IR-1T,cell_117,2
TP49-IR-1T,cell_1170,2
TP49-IR-1T,cell_1171,1
TP49-IR-1T,cell_1172,1
TP49-IR-1T,cell_1173,1
TP49-IR-1T,cell_1174,4
TP49-IR-1T,cell_1175,0
TP49-IR-1T,cell_1176,4
TP49-IR-1T,cell_1177,1
TP49-IR-1T,cell_1178,6
TP49-IR-1T,cell_1179,6
TP49-IR-1T,cell_118,4
TP49-IR-1T,cell_1180,4
TP49-IR-1T,cell_1181,2
TP49-IR-1T,cell_1182,7
TP49-IR-1T,cell_1183,2
TP49-IR-1T,cell_1184,7
TP49-IR-1T,cell_1185,4
TP49-IR-1T,cell_1186,1
TP49-IR-1T,cell_1187,5
TP49-IR-1T,cell_1188,2
TP49-IR-1T,cell_1189,1
TP49-IR-1T,cell_119,8
TP49-IR-1T,cell_1190,7
TP49-IR-1T,cell_1191,2
TP49-IR-1T,cell_1192,1
TP49-IR-1T,cell_1193,1
TP49-IR-1T,cell_1194,2
TP49-IR-1T,cell_1195,6
TP49-IR-1T,cell_1196,1
TP49-IR-1T,cell_1197,0
