,cell_barcode,clone_id
M11-1,cell_1220,3
M11-1,cell_1221,1
M11-1,cell_1222,4
M11-1,cell_1223,3
M11-1,cell_1224,1
M11-1,cell_1225,4
M11-1,cell_1226,4
M11-1,cell_1227,1
M11-1,cell_1228,1
M11-1,cell_1229,3
M11-1,cell_123,1
M11-1,cell_1230,3
M11-1,cell_1231,3
M11-1,cell_1232,3
M11-1,cell_1233,4
M11-1,cell_1234,1
M11-1,cell_1235,3
M11-1,cell_1236,3
M11-1,cell_1237,4
M11-1,cell_1238,3
M11-1,cell_1239,4
M11-1,cell_124,4
M11-1,cell_1240,4
M11-1,cell_1241,8
M11-1,cell_1242,4
M11-1,cell_1243,8
M11-1,cell_1244,1
M11-1,cell_1245,3
M11-1,cell_1246,1
M11-1,cell_1247,4
M11-1,cell_1248,4
M11-1,cell_1249,4
M11-1,cell_125,4
M11-1,cell_1250,3
M11-1,cell_1251,1
M11-1,cell_1252,4
M11-1,cell_1253,3
M11-1,cell_1254,4
M11-1,cell_1255,1
M11-1,cell_1256,3
M11-1,cell_1257,4
M11-1,cell_1258,1
M11-1,cell_1259,4
M11-1,cell_126,4
M11-1,cell_1260,4
M11-1,cell_1261,4
M11-1,cell_1262,3
M11-1,cell_1263,1
M11-1,cell_1264,4
M11-1,cell_1265,4
M11-1,cell_1266,4
M11-1,cell_1267,4
M11-1,cell_1268,3
M11-1,cell_1269,4
M11-1,cell_127,3
M11-1,cell_1270,3
M11-1,cell_1271,4
M11-1,cell_1272,3
M11-1,cell_1273,4
M11-1,cell_1274,4
M11-1,cell_1275,1
M11-1,cell_1276,3
M11-1,cell_1277,1
M11-1,cell_1278,3
M11-1,cell_1279,1
M11-1,cell_128,3
M11-1,cell_1280,4
M11-1,cell_1281,3
M11-1,cell_1282,4
M11-1,cell_1283,4
M11-1,cell_1284,1
M11-1,cell_1285,1
M11-1,cell_1286,3
M11-1,cell_1287,3
M11-1,cell_1288,4
M11-1,cell_1289,1
M11-1,cell_129,1
M11-1,cell_1290,3
M11-1,cell_1291,4
M11-1,cell_1292,4
M11-1,cell_1293,3
M11-1,cell_1294,4
M11-1,cell_1295,4
M11-1,cell_1296,3
M11-1,cell_1297,3
M11-1,cell_1298,1
M11-1,cell_1299,1
M11-1,cell_13,4
M11-1,cell_130,4
M11-1,cell_1300,1
M11-1,cell_1301,1
M11-1,cell_1302,3
M11-1,cell_1303,4
M11-1,cell_1304,1
M11-1,cell_1305,4
M11-1,cell_1306,1
M11-1,cell_1307,4
M11-1,cell_1308,4
M11-1,cell_1309,4
M11-1,cell_131,4
M11-1,cell_1310,4
M11-1,cell_1311,1
M11-1,cell_1312,4
M11-1,cell_1313,4
M11-1,cell_1314,1
M11-1,cell_1315,1
M11-1,cell_1316,4
M11-1,cell_1317,4
M11-1,cell_1318,3
M11-1,cell_1319,4
M11-1,cell_132,1
M11-1,cell_1320,4
M11-1,cell_1321,4
M11-1,cell_1322,1
M11-1,cell_1323,3
M11-1,cell_1324,3
M11-1,cell_1325,3
M11-1,cell_1326,3
M11-1,cell_1327,4
M11-1,cell_1328,3
M11-1,cell_1329,1
M11-1,cell_133,1
M11-1,cell_1330,4
M11-1,cell_1331,4
M11-1,cell_1332,3
M11-1,cell_1333,4
M11-1,cell_1334,1
M11-1,cell_1335,4
M11-1,cell_1336,1
M11-1,cell_1337,3
M11-1,cell_1338,3
M11-1,cell_1339,3
M11-1,cell_134,4
M11-1,cell_1340,4
M11-1,cell_1341,4
M11-1,cell_1342,1
M11-1,cell_1343,4
M11-1,cell_1344,4
M11-1,cell_1345,4
M11-1,cell_1346,4
M11-1,cell_1347,4
M11-1,cell_1348,4
M11-1,cell_1349,3
M11-1,cell_135,4
M11-1,cell_1350,4
M11-1,cell_1351,4
M11-1,cell_1352,4
M11-1,cell_1353,1
M11-1,cell_1354,4
M11-1,cell_1355,8
M11-1,cell_1356,4
M11-1,cell_1357,3
M11-1,cell_1358,4
M11-1,cell_1359,4
M11-1,cell_136,4
M11-1,cell_1360,1
M11-1,cell_1361,4
M11-1,cell_1362,4
M11-1,cell_1363,1
M11-1,cell_1364,3
M11-1,cell_1365,3
M11-1,cell_1366,3
M11-1,cell_1367,3
M11-1,cell_1368,4
M11-1,cell_1369,4
M11-1,cell_137,4
M11-1,cell_1370,3
M11-1,cell_1371,3
M11-1,cell_1372,3
M11-1,cell_1373,3
M11-1,cell_1374,4
M11-1,cell_1375,3
M11-1,cell_1376,3
M11-1,cell_1377,3
M11-1,cell_1378,1
M11-1,cell_1379,4
M11-1,cell_138,1
M11-1,cell_1380,1
M11-1,cell_1381,4
M11-1,cell_1382,4
M11-1,cell_1383,4
M11-1,cell_1384,4
M11-1,cell_1385,3
M11-1,cell_1386,1
M11-1,cell_1387,8
M11-1,cell_1388,4
M11-1,cell_1389,4
M11-1,cell_139,3
M11-1,cell_1390,3
M11-1,cell_1391,4
M11-1,cell_1392,4
M11-1,cell_1393,4
M11-1,cell_1394,4
M11-1,cell_1395,4
M11-1,cell_1396,4
M11-1,cell_1397,1
M11-1,cell_1398,3
M11-1,cell_1399,3
M11-1,cell_14,4
M11-1,cell_140,8
M11-1,cell_1400,4
M11-1,cell_1401,1
M11-1,cell_1402,3
M11-1,cell_1403,4
M11-1,cell_1404,4
M11-1,cell_1405,4
M11-1,cell_1406,3
M11-1,cell_1407,1
M11-1,cell_1408,3
M11-1,cell_1409,3
M11-1,cell_141,3
M11-1,cell_1410,1
M11-1,cell_1411,4
M11-1,cell_1412,3
M11-1,cell_1413,3
M11-1,cell_1414,1
M11-1,cell_1415,1
M11-1,cell_1416,3
M11-1,cell_1417,4
M11-1,cell_1418,1
M11-1,cell_1419,4
M11-1,cell_142,3
M11-1,cell_1420,4
M11-1,cell_1421,4
M11-1,cell_1422,4
M11-1,cell_1423,3
M11-1,cell_1424,4
M11-1,cell_1425,3
M11-1,cell_1426,3
M11-1,cell_1427,3
M11-1,cell_1428,4
M11-1,cell_1429,3
M11-1,cell_143,1
M11-1,cell_1430,1
M11-1,cell_1431,1
M11-1,cell_1432,1
M11-1,cell_1433,3
M11-1,cell_1434,1
M11-1,cell_1435,4
M11-1,cell_1436,3
M11-1,cell_1437,3
M11-1,cell_1438,3
M11-1,cell_1439,4
M11-1,cell_144,4
M11-1,cell_1440,3
M11-1,cell_1441,3
M11-1,cell_1442,3
M11-1,cell_1443,3
M11-1,cell_1444,3
M11-1,cell_1445,3
M11-1,cell_1446,3
M11-1,cell_1447,4
M11-1,cell_1448,4
M11-1,cell_1449,3
M11-1,cell_145,4
M11-1,cell_1450,1
M11-1,cell_1451,4
M11-1,cell_1452,3
M11-1,cell_1453,4
M11-1,cell_1454,4
M11-1,cell_1455,3
M11-1,cell_1456,3
M11-1,cell_1457,1
M11-1,cell_1458,4
M11-1,cell_1459,1
M11-1,cell_146,3
M11-1,cell_1460,3
M11-1,cell_1461,3
M11-1,cell_1462,4
M11-1,cell_1463,8
M11-1,cell_1464,4
M11-1,cell_1465,3
M11-1,cell_1466,1
M11-1,cell_1467,3
M11-1,cell_1468,4
M11-1,cell_1469,1
M11-1,cell_147,3
M11-1,cell_1470,4
M11-1,cell_1471,4
M11-1,cell_1472,4
M11-1,cell_1473,3
M11-1,cell_1474,4
M11-1,cell_1475,4
M11-1,cell_1476,1
M11-1,cell_1477,3
M11-1,cell_1478,4
M11-1,cell_1479,4
M11-1,cell_148,4
M11-1,cell_1480,4
M11-1,cell_1481,1
M11-1,cell_1482,1
M11-1,cell_1483,4
M11-1,cell_1484,4
M11-1,cell_1485,3
M11-1,cell_1486,1
M11-1,cell_1487,1
M11-1,cell_1488,1
M11-1,cell_1489,4
M11-1,cell_149,1
M11-1,cell_1490,1
M11-1,cell_1491,3
M11-1,cell_1492,4
M11-1,cell_1493,4
M11-1,cell_1494,1
M11-1,cell_1495,4
M11-1,cell_1496,4
M11-1,cell_1497,1
M11-1,cell_1498,4
