,cell_barcode,clone_id
TP6-1T,cell_1191,6
TP6-1T,cell_1192,1
TP6-1T,cell_1193,8
TP6-1T,cell_1194,1
TP6-1T,cell_1195,8
TP6-1T,cell_1196,8
TP6-1T,cell_1197,1
TP6-1T,cell_1198,6
TP6-1T,cell_1199,1
TP6-1T,cell_12,6
TP6-1T,cell_120,8
TP6-1T,cell_1200,1
TP6-1T,cell_1201,8
TP6-1T,cell_1202,8
TP6-1T,cell_1203,6
TP6-1T,cell_1204,1
TP6-1T,cell_1205,8
TP6-1T,cell_1206,8
TP6-1T,cell_1207,8
TP6-1T,cell_1208,1
TP6-1T,cell_1209,8
TP6-1T,cell_121,6
TP6-1T,cell_1210,8
TP6-1T,cell_1211,1
TP6-1T,cell_1212,8
TP6-1T,cell_1213,1
TP6-1T,cell_1214,1
TP6-1T,cell_1215,8
TP6-1T,cell_1216,6
TP6-1T,cell_1217,8
TP6-1T,cell_1218,1
TP6-1T,cell_1219,8
TP6-1T,cell_122,8
TP6-1T,cell_1220,8
TP6-1T,cell_1221,8
TP6-1T,cell_1222,1
TP6-1T,cell_1223,8
TP6-1T,cell_1224,1
TP6-1T,cell_1225,8
TP6-1T,cell_1226,8
TP6-1T,cell_1227,1
TP6-1T,cell_1228,8
TP6-1T,cell_1229,8
TP6-1T,cell_123,8
TP6-1T,cell_1230,6
TP6-1T,cell_1231,1
TP6-1T,cell_1232,8
TP6-1T,cell_1233,8
TP6-1T,cell_1234,8
TP6-1T,cell_1235,8
TP6-1T,cell_1236,8
TP6-1T,cell_1237,8
TP6-1T,cell_1238,1
TP6-1T,cell_1239,1
TP6-1T,cell_124,8
TP6-1T,cell_1240,8
TP6-1T,cell_1241,8
TP6-1T,cell_1242,1
TP6-1T,cell_1243,6
TP6-1T,cell_1244,8
TP6-1T,cell_1245,8
TP6-1T,cell_1246,8
TP6-1T,cell_1247,8
TP6-1T,cell_1248,8
TP6-1T,cell_1249,1
TP6-1T,cell_125,8
TP6-1T,cell_1250,8
TP6-1T,cell_1251,8
TP6-1T,cell_1252,1
TP6-1T,cell_1253,1
TP6-1T,cell_1254,8
TP6-1T,cell_1255,8
TP6-1T,cell_1256,1
TP6-1T,cell_1257,8
TP6-1T,cell_1258,1
TP6-1T,cell_1259,1
TP6-1T,cell_126,1
TP6-1T,cell_1260,8
TP6-1T,cell_1261,1
TP6-1T,cell_1262,8
TP6-1T,cell_1263,6
TP6-1T,cell_1264,8
TP6-1T,cell_1265,6
TP6-1T,cell_1266,1
TP6-1T,cell_1267,8
TP6-1T,cell_1268,8
TP6-1T,cell_1269,6
TP6-1T,cell_127,6
TP6-1T,cell_1270,1
TP6-1T,cell_1271,8
TP6-1T,cell_1272,8
TP6-1T,cell_1273,1
TP6-1T,cell_1274,6
TP6-1T,cell_1275,8
TP6-1T,cell_1276,1
TP6-1T,cell_1277,1
TP6-1T,cell_1278,8
TP6-1T,cell_1279,8
TP6-1T,cell_128,8
TP6-1T,cell_1280,8
TP6-1T,cell_1281,8
TP6-1T,cell_1282,8
TP6-1T,cell_1283,1
TP6-1T,cell_1284,6
TP6-1T,cell_1285,1
TP6-1T,cell_1286,6
TP6-1T,cell_1287,8
TP6-1T,cell_1288,1
TP6-1T,cell_1289,8
TP6-1T,cell_129,8
TP6-1T,cell_1290,8
TP6-1T,cell_1291,8
TP6-1T,cell_1292,1
TP6-1T,cell_1293,8
