sample,cell_barcode,clone_id
M13-1,cell_1193,0
M13-1,cell_1194,1
M13-1,cell_1195,0
M13-1,cell_1196,0
M13-1,cell_1197,0
M13-1,cell_1198,0
M13-1,cell_1199,0
M13-1,cell_12,0
M13-1,cell_120,0
M13-1,cell_1200,0
M13-1,cell_1201,3
M13-1,cell_1202,0
M13-1,cell_1203,3
M13-1,cell_1204,1
M13-1,cell_1205,0
M13-1,cell_1206,1
M13-1,cell_1207,0
M13-1,cell_1208,0
M13-1,cell_1209,1
M13-1,cell_121,1
M13-1,cell_1210,1
M13-1,cell_1211,3
M13-1,cell_1212,4
M13-1,cell_1213,0
M13-1,cell_1214,3
M13-1,cell_1215,4
M13-1,cell_1216,0
M13-1,cell_1217,3
M13-1,cell_1218,1
M13-1,cell_1219,0
M13-1,cell_122,3
M13-1,cell_1220,1
M13-1,cell_1221,0
M13-1,cell_1222,0
M13-1,cell_1223,0
M13-1,cell_1224,0
M13-1,cell_1225,4
M13-1,cell_1226,0
M13-1,cell_1227,4
M13-1,cell_1228,3
M13-1,cell_1229,3
M13-1,cell_123,4
M13-1,cell_1230,0
M13-1,cell_1231,0
M13-1,cell_1232,3
M13-1,cell_1233,4
M13-1,cell_1234,4
M13-1,cell_1235,0
M13-1,cell_1236,3
M13-1,cell_1237,4
M13-1,cell_1238,3
M13-1,cell_1239,0
M13-1,cell_124,1
M13-1,cell_1240,4
M13-1,cell_1241,0
M13-1,cell_1242,0
M13-1,cell_1243,1
M13-1,cell_1244,0
M13-1,cell_1245,0
M13-1,cell_1246,3
M13-1,cell_1247,0
M13-1,cell_1248,1
M13-1,cell_1249,1
M13-1,cell_125,1
M13-1,cell_1250,1
M13-1,cell_1251,0
M13-1,cell_1252,0
M13-1,cell_1253,1
M13-1,cell_1254,1
M13-1,cell_1255,0
M13-1,cell_1256,4
M13-1,cell_1257,0
M13-1,cell_1258,0
M13-1,cell_1259,3
M13-1,cell_126,4
M13-1,cell_1260,3
M13-1,cell_1261,1
M13-1,cell_1262,4
M13-1,cell_1263,3
M13-1,cell_1264,4
M13-1,cell_1265,0
M13-1,cell_1266,4
M13-1,cell_1267,0
M13-1,cell_1268,3
M13-1,cell_1269,1
M13-1,cell_127,1
M13-1,cell_1270,0
M13-1,cell_1271,3
M13-1,cell_1272,3
M13-1,cell_1273,3
M13-1,cell_1274,3
M13-1,cell_1275,3
M13-1,cell_1276,0
M13-1,cell_1277,0
M13-1,cell_1278,0
M13-1,cell_1279,0
M13-1,cell_128,3
M13-1,cell_1280,3
M13-1,cell_1281,4
M13-1,cell_1282,3
M13-1,cell_1283,0
M13-1,cell_1284,3
M13-1,cell_1285,4
M13-1,cell_1286,4
M13-1,cell_1287,1
M13-1,cell_1288,1
M13-1,cell_1289,3
M13-1,cell_129,3
M13-1,cell_1290,0
M13-1,cell_1291,4
M13-1,cell_1292,0
M13-1,cell_1293,3
M13-1,cell_1294,4
M13-1,cell_1295,0
M13-1,cell_1296,1
M13-1,cell_1297,4
M13-1,cell_1298,4
M13-1,cell_1299,0
M13-1,cell_13,3
M13-1,cell_130,0
M13-1,cell_1300,0
M13-1,cell_1301,0
M13-1,cell_1302,3
M13-1,cell_1303,1
M13-1,cell_1304,1
M13-1,cell_1305,0
M13-1,cell_1306,0
M13-1,cell_1307,4
M13-1,cell_1308,1
M13-1,cell_1309,4
M13-1,cell_131,3
M13-1,cell_1310,3
M13-1,cell_1311,0
M13-1,cell_1312,0
M13-1,cell_1313,4
M13-1,cell_1314,4
M13-1,cell_1315,0
M13-1,cell_1316,4
M13-1,cell_1317,4
M13-1,cell_1318,0
M13-1,cell_1319,0
M13-1,cell_132,0
M13-1,cell_1320,0
M13-1,cell_1321,0
M13-1,cell_1322,4
M13-1,cell_1323,4
M13-1,cell_1324,3
M13-1,cell_1325,3
M13-1,cell_1326,1
M13-1,cell_1327,3
M13-1,cell_1328,0
M13-1,cell_1329,0
M13-1,cell_133,3
M13-1,cell_1330,1
M13-1,cell_1331,3
M13-1,cell_1332,3
M13-1,cell_1333,0
M13-1,cell_1334,3
M13-1,cell_1335,1
M13-1,cell_1336,0
M13-1,cell_1337,3
M13-1,cell_1338,0
M13-1,cell_1339,3
M13-1,cell_134,4
M13-1,cell_1340,3
M13-1,cell_1341,4
M13-1,cell_1342,0
M13-1,cell_1343,0
M13-1,cell_1344,3
M13-1,cell_1345,4
M13-1,cell_1346,0
M13-1,cell_1347,4
M13-1,cell_1348,4
M13-1,cell_1349,0
M13-1,cell_135,3
M13-1,cell_1350,0
M13-1,cell_1351,0
M13-1,cell_1352,3
M13-1,cell_1353,3
M13-1,cell_1354,1
M13-1,cell_1355,0
M13-1,cell_1356,1
M13-1,cell_1357,0
M13-1,cell_1358,3
M13-1,cell_1359,0
M13-1,cell_136,0
M13-1,cell_1360,0
M13-1,cell_1361,1
M13-1,cell_1362,1
M13-1,cell_1363,1
M13-1,cell_1364,1
M13-1,cell_1365,4
M13-1,cell_1366,0
M13-1,cell_1367,0
M13-1,cell_1368,3
M13-1,cell_1369,0
M13-1,cell_137,1
M13-1,cell_1370,0
M13-1,cell_1371,4
M13-1,cell_1372,3
M13-1,cell_1373,0
M13-1,cell_1374,4
M13-1,cell_1375,0
M13-1,cell_1376,4
M13-1,cell_1377,0
M13-1,cell_1378,3
M13-1,cell_1379,0
M13-1,cell_138,3
M13-1,cell_1380,3
M13-1,cell_1381,0
M13-1,cell_1382,0
M13-1,cell_1383,3
M13-1,cell_1384,0
M13-1,cell_1385,4
M13-1,cell_1386,0
M13-1,cell_1387,1
M13-1,cell_1388,0
M13-1,cell_1389,4
M13-1,cell_139,0
M13-1,cell_1390,1
M13-1,cell_1391,1
M13-1,cell_1392,3
M13-1,cell_1393,0
M13-1,cell_1394,0
M13-1,cell_1395,0
M13-1,cell_1396,0
M13-1,cell_1397,4
M13-1,cell_1398,0
M13-1,cell_1399,0
M13-1,cell_14,3
M13-1,cell_140,0
M13-1,cell_1400,1
M13-1,cell_1401,0
M13-1,cell_1402,1
M13-1,cell_1403,0
M13-1,cell_1404,0
M13-1,cell_1405,0
M13-1,cell_1406,4
M13-1,cell_1407,0
M13-1,cell_1408,4
M13-1,cell_1409,1
M13-1,cell_141,1
M13-1,cell_1410,0
M13-1,cell_1411,0
M13-1,cell_1412,0
M13-1,cell_1413,4
M13-1,cell_1414,0
M13-1,cell_1415,4
M13-1,cell_1416,0
M13-1,cell_1417,0
M13-1,cell_1418,0
M13-1,cell_1419,3
M13-1,cell_142,3
M13-1,cell_1420,4
M13-1,cell_1421,3
M13-1,cell_1422,0
M13-1,cell_1423,0
M13-1,cell_1424,1
M13-1,cell_1425,0
M13-1,cell_1426,0
M13-1,cell_1427,1
M13-1,cell_1428,4
M13-1,cell_1429,0
M13-1,cell_143,3
M13-1,cell_1430,3
M13-1,cell_1431,0
M13-1,cell_1432,3
M13-1,cell_1433,0
M13-1,cell_1434,3
M13-1,cell_1435,1
M13-1,cell_1436,0
M13-1,cell_1437,4
M13-1,cell_1438,0
M13-1,cell_1439,0
M13-1,cell_144,1
M13-1,cell_1440,0
M13-1,cell_1441,0
M13-1,cell_1442,3
M13-1,cell_1443,0
M13-1,cell_1444,1
M13-1,cell_1445,1
M13-1,cell_1446,0
M13-1,cell_1447,1
M13-1,cell_1448,4
M13-1,cell_1449,0
M13-1,cell_145,0
M13-1,cell_1450,0
M13-1,cell_1451,3
M13-1,cell_1452,3
M13-1,cell_1453,1
M13-1,cell_1454,0
M13-1,cell_1455,1
M13-1,cell_1456,4
M13-1,cell_1457,0
M13-1,cell_1458,0
M13-1,cell_1459,1
M13-1,cell_146,1
M13-1,cell_1460,4
M13-1,cell_1461,3
M13-1,cell_1462,0
M13-1,cell_1463,3
M13-1,cell_1464,3
M13-1,cell_1465,4
M13-1,cell_1466,0
M13-1,cell_1467,3
M13-1,cell_1468,3
M13-1,cell_1469,0
M13-1,cell_147,0
M13-1,cell_1470,0
M13-1,cell_1471,1
M13-1,cell_1472,0
M13-1,cell_1473,1
M13-1,cell_1474,3
M13-1,cell_1475,3
M13-1,cell_1476,4
M13-1,cell_1477,4
M13-1,cell_1478,0
M13-1,cell_1479,0
M13-1,cell_148,1
M13-1,cell_1480,3
M13-1,cell_1481,0
M13-1,cell_1482,1
M13-1,cell_1483,0
M13-1,cell_1484,0
M13-1,cell_1485,1
M13-1,cell_1486,3
M13-1,cell_1487,0
M13-1,cell_1488,0
M13-1,cell_1489,0
M13-1,cell_149,0
M13-1,cell_1490,4
M13-1,cell_1491,1
M13-1,cell_1492,0
M13-1,cell_1493,0
M13-1,cell_1494,3
M13-1,cell_1495,1
M13-1,cell_1496,0
M13-1,cell_1497,1
M13-1,cell_1498,0
M13-1,cell_1499,3
M13-1,cell_15,4
M13-1,cell_150,1
M13-1,cell_1500,1
M13-1,cell_1501,4
M13-1,cell_1502,3
M13-1,cell_1503,0
M13-1,cell_1504,3
M13-1,cell_1505,3
M13-1,cell_1506,0
M13-1,cell_1507,0
M13-1,cell_1508,1
M13-1,cell_1509,0
M13-1,cell_151,0
M13-1,cell_1510,1
M13-1,cell_1511,4
M13-1,cell_1512,0
M13-1,cell_1513,0
M13-1,cell_1514,0
M13-1,cell_1515,0
M13-1,cell_1516,4
M13-1,cell_1517,3
M13-1,cell_1518,3
M13-1,cell_1519,3
M13-1,cell_152,1
M13-1,cell_1520,0
M13-1,cell_1521,4
M13-1,cell_1522,4
M13-1,cell_1523,4
M13-1,cell_1524,0
M13-1,cell_1525,0
M13-1,cell_1526,0
M13-1,cell_1527,0
M13-1,cell_1528,0
M13-1,cell_1529,3
M13-1,cell_153,0
M13-1,cell_1530,0
M13-1,cell_1531,5
M13-1,cell_1532,0
M13-1,cell_1533,3
M13-1,cell_1534,0
M13-1,cell_1535,4
M13-1,cell_1536,0
M13-1,cell_1537,4
M13-1,cell_1538,0
M13-1,cell_1539,0
M13-1,cell_154,3
M13-1,cell_1540,4
M13-1,cell_1541,1
M13-1,cell_1542,0
M13-1,cell_1543,4
M13-1,cell_1544,4
M13-1,cell_1545,3
M13-1,cell_1546,4
M13-1,cell_1547,4
M13-1,cell_1548,3
M13-1,cell_1549,0
M13-1,cell_155,0
M13-1,cell_1550,3
M13-1,cell_1551,1
M13-1,cell_1552,4
M13-1,cell_1553,1
M13-1,cell_1554,0
M13-1,cell_1555,0
M13-1,cell_1556,0
M13-1,cell_1557,4
M13-1,cell_1558,3
M13-1,cell_1559,0
M13-1,cell_156,0
M13-1,cell_1560,0
M13-1,cell_1561,1
M13-1,cell_1562,0
M13-1,cell_1563,0
M13-1,cell_1564,0
M13-1,cell_1565,1
M13-1,cell_1566,1
M13-1,cell_1567,0
M13-1,cell_1568,0
M13-1,cell_1569,3
M13-1,cell_157,0
M13-1,cell_1570,3
M13-1,cell_1571,3
M13-1,cell_1572,1
M13-1,cell_1573,0
M13-1,cell_1574,4
M13-1,cell_1575,1
M13-1,cell_1576,3
M13-1,cell_1577,3
M13-1,cell_1578,0
M13-1,cell_1579,1
M13-1,cell_158,3
M13-1,cell_1580,0
M13-1,cell_1581,4
