sample_name,cell_barcode,final_clone_id
BPA-1-RSX,cell_1981,1
BPA-1-RSX,cell_20,1
BPA-1-RSX,cell_2024,1
BPA-1-RSX,cell_2035,1
BPA-1-RSX,cell_2057,1
BPA-1-RSX,cell_2084,1
BPA-1-RSX,cell_2089,1
BPA-1-RSX,cell_209,1
BPA-1-RSX,cell_2098,1
BPA-1-RSX,cell_2099,1
BPA-1-RSX,cell_2100,1
BPA-1-RSX,cell_2163,1
BPA-1-RSX,cell_2181,1
BPA-1-RSX,cell_2182,1
BPA-1-RSX,cell_221,1
BPA-1-RSX,cell_2230,1
BPA-1-RSX,cell_2237,1
BPA-1-RSX,cell_2372,1
BPA-1-RSX,cell_2385,1
BPA-1-RSX,cell_2386,1
BPA-1-RSX,cell_2402,1
BPA-1-RSX,cell_2409,1
BPA-1-RSX,cell_2419,1
BPA-1-RSX,cell_2420,1
BPA-1-RSX,cell_2435,1
BPA-1-RSX,cell_2447,1
BPA-1-RSX,cell_2454,1
BPA-1-RSX,cell_2465,1
BPA-1-RSX,cell_2486,1
BPA-1-RSX,cell_2496,1
BPA-1-RSX,cell_2502,1
BPA-1-RSX,cell_2507,1
BPA-1-RSX,cell_2529,1
BPA-1-RSX,cell_254,1
BPA-1-RSX,cell_2545,1
BPA-1-RSX,cell_2550,1
BPA-1-RSX,cell_2562,1
BPA-1-RSX,cell_2581,1
BPA-1-RSX,cell_2583,1
BPA-1-RSX,cell_2584,1
BPA-1-RSX,cell_2626,1
BPA-1-RSX,cell_2639,1
BPA-1-RSX,cell_2655,1
BPA-1-RSX,cell_2659,1
BPA-1-RSX,cell_2664,1
BPA-1-RSX,cell_2687,1
BPA-1-RSX,cell_269,1
BPA-1-RSX,cell_2697,1
BPA-1-RSX,cell_272,1
BPA-1-RSX,cell_2722,1
BPA-1-RSX,cell_2733,1
BPA-1-RSX,cell_2734,1
BPA-1-RSX,cell_2764,1
BPA-1-RSX,cell_2778,1
BPA-1-RSX,cell_2783,1
BPA-1-RSX,cell_2787,1
BPA-1-RSX,cell_2790,1
BPA-1-RSX,cell_280,1
BPA-1-RSX,cell_2820,1
BPA-1-RSX,cell_2839,1
BPA-1-RSX,cell_2850,1
BPA-1-RSX,cell_2884,1
BPA-1-RSX,cell_29,1
BPA-1-RSX,cell_2915,1
BPA-1-RSX,cell_2919,1
BPA-1-RSX,cell_2926,1
BPA-1-RSX,cell_2927,1
BPA-1-RSX,cell_294,1
BPA-1-RSX,cell_2940,1
BPA-1-RSX,cell_2942,1
BPA-1-RSX,cell_2952,1
BPA-1-RSX,cell_2957,1
BPA-1-RSX,cell_2977,1
BPA-1-RSX,cell_2991,1
BPA-1-RSX,cell_2999,1
BPA-1-RSX,cell_3,1
BPA-1-RSX,cell_301,1
BPA-1-RSX,cell_3017,1
BPA-1-RSX,cell_3035,1
BPA-1-RSX,cell_3038,1
BPA-1-RSX,cell_3069,1
BPA-1-RSX,cell_307,1
BPA-1-RSX,cell_3078,1
BPA-1-RSX,cell_3085,1
BPA-1-RSX,cell_3093,1
BPA-1-RSX,cell_3128,1
BPA-1-RSX,cell_3135,1
BPA-1-RSX,cell_3137,1
BPA-1-RSX,cell_3144,1
BPA-1-RSX,cell_3151,1
BPA-1-RSX,cell_3175,1
BPA-1-RSX,cell_3176,1
BPA-1-RSX,cell_3178,1
BPA-1-RSX,cell_3184,1
BPA-1-RSX,cell_3207,1
BPA-1-RSX,cell_327,1
BPA-1-RSX,cell_3295,1
BPA-1-RSX,cell_3296,1
BPA-1-RSX,cell_332,1
BPA-1-RSX,cell_3372,1
BPA-1-RSX,cell_3394,1
BPA-1-RSX,cell_3395,1
BPA-1-RSX,cell_3415,1
BPA-1-RSX,cell_3419,1
BPA-1-RSX,cell_343,1
BPA-1-RSX,cell_3482,1
BPA-1-RSX,cell_3483,1
BPA-1-RSX,cell_3489,1
BPA-1-RSX,cell_351,1
BPA-1-RSX,cell_3522,1
BPA-1-RSX,cell_3549,1
BPA-1-RSX,cell_3590,1
BPA-1-RSX,cell_3598,1
BPA-1-RSX,cell_3607,1
BPA-1-RSX,cell_3640,1
BPA-1-RSX,cell_3658,1
BPA-1-RSX,cell_367,1
BPA-1-RSX,cell_3679,1
BPA-1-RSX,cell_3704,1
BPA-1-RSX,cell_3742,1
BPA-1-RSX,cell_3752,1
BPA-1-RSX,cell_3775,1
BPA-1-RSX,cell_379,1
BPA-1-RSX,cell_3790,1
BPA-1-RSX,cell_3797,1
BPA-1-RSX,cell_38,1
BPA-1-RSX,cell_3810,1
BPA-1-RSX,cell_3832,1
BPA-1-RSX,cell_384,1
BPA-1-RSX,cell_3872,1
BPA-1-RSX,cell_3883,1
BPA-1-RSX,cell_389,1
BPA-1-RSX,cell_3899,1
BPA-1-RSX,cell_3956,1
BPA-1-RSX,cell_3957,1
BPA-1-RSX,cell_399,1
BPA-1-RSX,cell_4003,1
BPA-1-RSX,cell_4017,1
BPA-1-RSX,cell_4051,1
BPA-1-RSX,cell_4053,1
BPA-1-RSX,cell_4085,1
BPA-1-RSX,cell_4095,1
BPA-1-RSX,cell_410,1
BPA-1-RSX,cell_4123,1
BPA-1-RSX,cell_4170,1
BPA-1-RSX,cell_4177,1
BPA-1-RSX,cell_4179,1
BPA-1-RSX,cell_4194,1
BPA-1-RSX,cell_4210,1
BPA-1-RSX,cell_4232,1
BPA-1-RSX,cell_4266,1
BPA-1-RSX,cell_427,1
BPA-1-RSX,cell_4274,1
BPA-1-RSX,cell_4281,1
BPA-1-RSX,cell_4325,1
BPA-1-RSX,cell_4336,1
BPA-1-RSX,cell_4358,1
BPA-1-RSX,cell_4369,1
BPA-1-RSX,cell_4391,1
BPA-1-RSX,cell_4411,1
BPA-1-RSX,cell_4416,1
BPA-1-RSX,cell_4422,1
BPA-1-RSX,cell_4427,1
BPA-1-RSX,cell_4443,1
BPA-1-RSX,cell_4453,1
BPA-1-RSX,cell_4457,1
BPA-1-RSX,cell_461,1
BPA-1-RSX,cell_467,1
BPA-1-RSX,cell_508,1
BPA-1-RSX,cell_529,1
BPA-1-RSX,cell_550,1
BPA-1-RSX,cell_57,1
BPA-1-RSX,cell_572,1
BPA-1-RSX,cell_574,1
BPA-1-RSX,cell_58,1
BPA-1-RSX,cell_6,1
BPA-1-RSX,cell_605,1
BPA-1-RSX,cell_612,1
BPA-1-RSX,cell_613,1
BPA-1-RSX,cell_632,1
BPA-1-RSX,cell_637,1
BPA-1-RSX,cell_638,1
BPA-1-RSX,cell_643,1
BPA-1-RSX,cell_645,1
BPA-1-RSX,cell_665,1
BPA-1-RSX,cell_68,1
BPA-1-RSX,cell_706,1
BPA-1-RSX,cell_730,1
