sample,cell_barcode,clone_id
TP49-IR-1T,cell_1796,1
TP49-IR-1T,cell_1797,1
TP49-IR-1T,cell_180,1
TP49-IR-1T,cell_1805,1
TP49-IR-1T,cell_1811,1
TP49-IR-1T,cell_1813,1
TP49-IR-1T,cell_1816,1
TP49-IR-1T,cell_1828,1
TP49-IR-1T,cell_183,1
TP49-IR-1T,cell_1837,1
TP49-IR-1T,cell_1838,1
TP49-IR-1T,cell_1839,1
TP49-IR-1T,cell_1840,1
TP49-IR-1T,cell_1841,1
TP49-IR-1T,cell_1843,1
TP49-IR-1T,cell_1848,1
TP49-IR-1T,cell_185,1
TP49-IR-1T,cell_1856,1
TP49-IR-1T,cell_1858,1
TP49-IR-1T,cell_187,1
TP49-IR-1T,cell_1873,1
TP49-IR-1T,cell_1880,1
TP49-IR-1T,cell_1889,1
TP49-IR-1T,cell_1892,1
TP49-IR-1T,cell_1903,1
TP49-IR-1T,cell_1911,1
TP49-IR-1T,cell_1912,1
TP49-IR-1T,cell_1919,1
TP49-IR-1T,cell_192,1
TP49-IR-1T,cell_1922,1
TP49-IR-1T,cell_1925,1
TP49-IR-1T,cell_1940,1
TP49-IR-1T,cell_1949,1
TP49-IR-1T,cell_1956,1
TP49-IR-1T,cell_1961,1
TP49-IR-1T,cell_1966,1
TP49-IR-1T,cell_1967,1
TP49-IR-1T,cell_1974,1
TP49-IR-1T,cell_1991,1
TP49-IR-1T,cell_1992,1
TP49-IR-1T,cell_2,1
TP49-IR-1T,cell_200,1
TP49-IR-1T,cell_2006,1
TP49-IR-1T,cell_2010,1
TP49-IR-1T,cell_2015,1
TP49-IR-1T,cell_2024,1
TP49-IR-1T,cell_2036,1
TP49-IR-1T,cell_2040,1
TP49-IR-1T,cell_2043,1
TP49-IR-1T,cell_2047,1
TP49-IR-1T,cell_205,1
TP49-IR-1T,cell_2059,1
TP49-IR-1T,cell_206,1
TP49-IR-1T,cell_2062,1
TP49-IR-1T,cell_2067,1
TP49-IR-1T,cell_2071,1
TP49-IR-1T,cell_2073,1
TP49-IR-1T,cell_2075,1
TP49-IR-1T,cell_2077,1
TP49-IR-1T,cell_2080,1
TP49-IR-1T,cell_210,1
TP49-IR-1T,cell_2103,1
TP49-IR-1T,cell_2111,1
TP49-IR-1T,cell_2113,1
TP49-IR-1T,cell_2114,1
TP49-IR-1T,cell_2122,1
TP49-IR-1T,cell_2126,1
TP49-IR-1T,cell_2129,1
TP49-IR-1T,cell_213,1
TP49-IR-1T,cell_2143,1
TP49-IR-1T,cell_215,1
TP49-IR-1T,cell_2151,1
TP49-IR-1T,cell_2152,1
TP49-IR-1T,cell_2163,1
TP49-IR-1T,cell_2164,1
TP49-IR-1T,cell_2173,1
TP49-IR-1T,cell_2175,1
TP49-IR-1T,cell_2176,1
TP49-IR-1T,cell_2179,1
TP49-IR-1T,cell_2188,1
TP49-IR-1T,cell_2191,1
TP49-IR-1T,cell_2192,1
TP49-IR-1T,cell_2206,1
TP49-IR-1T,cell_2214,1
TP49-IR-1T,cell_2216,1
TP49-IR-1T,cell_2217,1
TP49-IR-1T,cell_2233,1
TP49-IR-1T,cell_2234,1
TP49-IR-1T,cell_2242,1
TP49-IR-1T,cell_2257,1
TP49-IR-1T,cell_2263,1
TP49-IR-1T,cell_2266,1
TP49-IR-1T,cell_2268,1
TP49-IR-1T,cell_2272,1
TP49-IR-1T,cell_2274,1
TP49-IR-1T,cell_2281,1
TP49-IR-1T,cell_2282,1
TP49-IR-1T,cell_229,1
TP49-IR-1T,cell_231,1
TP49-IR-1T,cell_232,1
TP49-IR-1T,cell_241,1
TP49-IR-1T,cell_243,1
TP49-IR-1T,cell_245,1
TP49-IR-1T,cell_253,1
TP49-IR-1T,cell_256,1
TP49-IR-1T,cell_258,1
TP49-IR-1T,cell_26,1
TP49-IR-1T,cell_266,1
TP49-IR-1T,cell_286,1
TP49-IR-1T,cell_288,1
TP49-IR-1T,cell_294,1
TP49-IR-1T,cell_298,1
TP49-IR-1T,cell_300,1
TP49-IR-1T,cell_306,1
TP49-IR-1T,cell_308,1
TP49-IR-1T,cell_316,1
TP49-IR-1T,cell_317,1
