sample,cell_barcode,clone_id
M12-3,cell_876,1
M12-3,cell_1461,1
M12-3,cell_66,1
M12-3,cell_266,1
M12-3,cell_724,1
M12-3,cell_978,1
M12-3,cell_1551,1
M12-3,cell_1304,1
M12-3,cell_2176,1
M12-3,cell_2168,1
M12-3,cell_1915,1
M12-3,cell_1005,1
M12-3,cell_1942,1
M12-3,cell_1845,1
M12-3,cell_944,1
M12-3,cell_942,1
M12-3,cell_1687,1
M12-3,cell_1545,1
M12-3,cell_1083,1
M12-3,cell_1210,1
M12-3,cell_1089,1
M12-3,cell_1054,1
M12-3,cell_1012,1
M12-3,cell_1668,1
M12-3,cell_475,1
M12-3,cell_309,1
M12-3,cell_1960,1
M12-3,cell_669,1
M12-3,cell_1671,1
M12-3,cell_792,1
M12-3,cell_828,1
M12-3,cell_1447,1
M12-3,cell_69,1
M12-3,cell_624,1
M12-3,cell_1677,1
M12-3,cell_249,1
M12-3,cell_2212,1
M12-3,cell_1480,1
M12-3,cell_188,1
M12-3,cell_231,1
M12-3,cell_1479,1
M12-3,cell_1475,1
M12-3,cell_1718,1
M12-3,cell_1049,1
M12-3,cell_873,1
M12-3,cell_2090,1
M12-3,cell_510,1
M12-3,cell_334,1
M12-3,cell_1321,1
M12-3,cell_1881,1
M12-3,cell_1191,1
M12-3,cell_1606,1
M12-3,cell_20,1
M12-3,cell_1397,1
M12-3,cell_473,1
M12-3,cell_1640,1
M12-3,cell_1825,1
M12-3,cell_315,1
M12-3,cell_1822,1
M12-3,cell_495,1
M12-3,cell_919,1
M12-3,cell_1531,1
M12-3,cell_482,1
M12-3,cell_1988,1
M12-3,cell_1338,1
M12-3,cell_1485,1
M12-3,cell_1119,1
M12-3,cell_891,1
M12-3,cell_1614,1
M12-3,cell_2009,1
M12-3,cell_545,1
M12-3,cell_1776,1
M12-3,cell_1356,1
M12-3,cell_19,1
M12-3,cell_1013,1
M12-3,cell_2230,1
M12-3,cell_1383,1
M12-3,cell_1878,1
M12-3,cell_227,1
M12-3,cell_1156,1
M12-3,cell_490,1
M12-3,cell_1094,1
M12-3,cell_70,1
M12-3,cell_537,1
M12-3,cell_1783,1
M12-3,cell_1206,1
M12-3,cell_1488,1
M12-3,cell_2068,1
M12-3,cell_1382,1
M12-3,cell_2181,1
M12-3,cell_1270,1
M12-3,cell_2239,1
M12-3,cell_423,1
M12-3,cell_1647,1
M12-3,cell_621,1
M12-3,cell_2078,1
M12-3,cell_1738,1
M12-3,cell_2217,1
M12-3,cell_2158,1
M12-3,cell_1708,1
M12-3,cell_829,1
M12-3,cell_7,1
M12-3,cell_1727,1
M12-3,cell_670,1
M12-3,cell_760,1
M12-3,cell_813,1
M12-3,cell_76,1
M12-3,cell_672,1
M12-3,cell_347,1
M12-3,cell_1296,1
M12-3,cell_314,1
M12-3,cell_320,1
M12-3,cell_2245,1
M12-3,cell_674,1
M12-3,cell_788,1
M12-3,cell_972,1
M12-3,cell_566,1
M12-3,cell_1163,1
M12-3,cell_1888,1
M12-3,cell_1320,1
M12-3,cell_521,1
M12-3,cell_1554,1
M12-3,cell_207,1
M12-3,cell_1456,1
M12-3,cell_1272,1
M12-3,cell_58,1
M12-3,cell_764,1
M12-3,cell_358,1
M12-3,cell_1607,1
M12-3,cell_1884,1
M12-3,cell_2132,1
M12-3,cell_45,1
M12-3,cell_928,1
M12-3,cell_199,1
M12-3,cell_2278,1
M12-3,cell_1284,1
M12-3,cell_1759,1
M12-3,cell_1704,1
M12-3,cell_709,1
M12-3,cell_283,1
M12-3,cell_1019,1
M12-3,cell_2259,1
M12-3,cell_508,1
M12-3,cell_238,1
M12-3,cell_1632,1
M12-3,cell_708,1
M12-3,cell_878,1
M12-3,cell_2112,1
M12-3,cell_1017,1
M12-3,cell_576,1
M12-3,cell_2035,1
M12-3,cell_499,1
M12-3,cell_483,1
M12-3,cell_901,1
M12-3,cell_1890,1
M12-3,cell_2073,1
M12-3,cell_319,1
M12-3,cell_30,1
M12-3,cell_1991,1
M12-3,cell_1611,1
M12-3,cell_811,1
M12-3,cell_1797,1
M12-3,cell_463,1
M12-3,cell_2122,1
M12-3,cell_2272,1
M12-3,cell_1641,1
M12-3,cell_2040,1
M12-3,cell_2268,1
M12-3,cell_1312,1
M12-3,cell_1823,1
M12-3,cell_981,1
M12-3,cell_1691,1
M12-3,cell_2077,1
M12-3,cell_1596,1
M12-3,cell_1212,1
M12-3,cell_1467,1
M12-3,cell_2244,1
M12-3,cell_2048,1
M12-3,cell_886,1
M12-3,cell_2116,1
M12-3,cell_1091,1
M12-3,cell_2215,1
M12-3,cell_306,1
M12-3,cell_1457,1
M12-3,cell_735,1
M12-3,cell_559,1
M12-3,cell_767,1
M12-3,cell_531,1
M12-3,cell_1259,1
M12-3,cell_1072,1
M12-3,cell_344,1
M12-3,cell_1355,1
M12-3,cell_2,1
M12-3,cell_506,1
M12-3,cell_992,1
M12-3,cell_103,1
M12-3,cell_1609,1
M12-3,cell_1376,1
M12-3,cell_1868,1
M12-3,cell_1594,1
M12-3,cell_591,1
M12-3,cell_1794,1
M12-3,cell_802,1
M12-3,cell_448,1
M12-3,cell_2075,1
M12-3,cell_152,1
M12-3,cell_276,1
M12-3,cell_1655,1
M12-3,cell_317,1
M12-3,cell_254,1
M12-3,cell_1254,1
M12-3,cell_109,1
M12-3,cell_1585,1
M12-3,cell_2211,1
M12-3,cell_2219,1
M12-3,cell_1432,1
M12-3,cell_1977,1
M12-3,cell_1244,1
M12-3,cell_426,1
M12-3,cell_1833,1
M12-3,cell_1152,1
M12-3,cell_417,1
M12-3,cell_526,1
M12-3,cell_598,1
M12-3,cell_1399,1
M12-3,cell_1388,1
M12-3,cell_471,1
M12-3,cell_950,1
M12-3,cell_1412,1
M12-3,cell_2123,1
M12-3,cell_1867,1
M12-3,cell_791,1
M12-3,cell_310,1
